# Force coefficients
# liftDir       : (-8.71556741e-02 9.96194704e-01 0.00000000e+00)
# dragDir       : (9.96194704e-01 8.71556741e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 3.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
227             	-1.10316694e-03	9.43125083e-03	3.77880252e-02	1.77908457e-02	1.99971796e-02
228             	5.24976697e-03	-1.51466095e-03	5.08617376e-02	3.06806358e-02	2.01811018e-02
229             	-8.93957759e-04	9.57833578e-03	3.79297958e-02	1.80709401e-02	1.98588556e-02
230             	5.07308023e-03	-1.63967959e-03	5.12100895e-02	3.06781250e-02	2.05319645e-02
231             	-6.91549080e-04	9.67837402e-03	3.77413783e-02	1.81791401e-02	1.95622382e-02
232             	4.91060388e-03	-1.60076565e-03	5.13867564e-02	3.06039821e-02	2.07827743e-02
233             	-4.47512695e-04	9.58608973e-03	3.76761939e-02	1.83905842e-02	1.92856096e-02
234             	4.70784818e-03	-1.55247590e-03	5.14789861e-02	3.04473412e-02	2.10316449e-02
235             	-2.87955109e-04	9.63580497e-03	3.83894831e-02	1.89067865e-02	1.94826967e-02
236             	4.65108701e-03	-1.63251876e-03	5.12068912e-02	3.02545326e-02	2.09523586e-02
237             	-2.41786101e-04	9.71837396e-03	3.86771480e-02	1.90967879e-02	1.95803601e-02
238             	4.77731521e-03	-1.72292108e-03	5.11636606e-02	3.03591455e-02	2.08045151e-02
239             	-3.79768488e-04	9.83380833e-03	3.84731141e-02	1.88567886e-02	1.96163255e-02
240             	5.02654832e-03	-1.84419919e-03	5.18322628e-02	3.09426797e-02	2.08895831e-02
241             	-6.09411670e-04	9.95193473e-03	3.80941371e-02	1.84376569e-02	1.96564802e-02
242             	5.21426055e-03	-1.78923970e-03	5.19145235e-02	3.11715223e-02	2.07430012e-02
243             	-7.23208155e-04	9.76056377e-03	3.79153981e-02	1.82344909e-02	1.96809072e-02
244             	5.28678852e-03	-1.64306681e-03	5.25344940e-02	3.15540355e-02	2.09804585e-02
245             	-6.99519387e-04	9.68426889e-03	3.87110943e-02	1.86560278e-02	2.00550665e-02
246             	5.40238967e-03	-1.61438020e-03	5.22996891e-02	3.15522342e-02	2.07474549e-02
247             	-7.41011761e-04	9.72849040e-03	3.88979039e-02	1.87079402e-02	2.01899637e-02
248             	5.49205275e-03	-1.64883074e-03	5.19290759e-02	3.14565907e-02	2.04724852e-02
249             	-6.95657225e-04	9.75692792e-03	3.89051805e-02	1.87569330e-02	2.01482475e-02
250             	5.41626765e-03	-1.71086729e-03	5.23495465e-02	3.15910409e-02	2.07585056e-02
251             	-5.42239584e-04	9.74214516e-03	3.86657417e-02	1.87906313e-02	1.98751104e-02
252             	5.24469056e-03	-1.53476761e-03	5.28117260e-02	3.16505536e-02	2.11611724e-02
253             	-3.14461230e-04	9.61790834e-03	3.87446587e-02	1.90578681e-02	1.96867906e-02
254             	5.06136527e-03	-1.49710356e-03	5.27921091e-02	3.14574198e-02	2.13346893e-02
255             	-9.70007617e-05	9.58268716e-03	3.94785493e-02	1.96422739e-02	1.98362754e-02
256             	4.93718007e-03	-1.45118473e-03	5.25286537e-02	3.12015069e-02	2.13271468e-02
257             	4.09915893e-05	9.61376249e-03	3.95424109e-02	1.98121970e-02	1.97302139e-02
258             	4.96482204e-03	-1.53974895e-03	5.23467497e-02	3.11381969e-02	2.12085528e-02
259             	-1.93058693e-05	9.68036359e-03	3.94303592e-02	1.96958737e-02	1.97344854e-02
260             	5.06706373e-03	-1.70658316e-03	5.29681454e-02	3.15511364e-02	2.14170090e-02
261             	-1.73221841e-04	9.79270136e-03	3.90815438e-02	1.93675500e-02	1.97139937e-02
262             	5.22620422e-03	-1.61816954e-03	5.32588361e-02	3.18556222e-02	2.14032138e-02
